anime_id,Name,English name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Studios,Source,Duration,Rating,Image URL
9547,Porong Porong Pororo 2,Pororo the Little Penguin 2,5.65,UNKNOWN,A direct continuation of the previous season that starts with the introduction of a new character called Petty who is a female penguin.,TV,52,"Dec 3, 2005 to May 28, 2006",winter 2006,Finished Airing,UNKNOWN,Original,5 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/12/66615.jpg
9548,Pororo-wa Noraehaeyo,Sing-A-Long with Pororo,5.51,UNKNOWN,Sing-A-Long with Pororo and his friends. The series features both stage singing and in-story singing similar to that of Disney films.,TV,14,2006,UNKNOWN,Finished Airing,UNKNOWN,Unknown,3 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/5/66619.jpg
9549,Porong Porong Pororo 3,Pororo the Little Penguin 3,5.56,Sci-Fi,A direct continuation of the second season. This time there are aliens and a robot friend that hangs out with the gang.,TV,52,"May 4, 2009 to Oct 27, 2009",spring 2009,Finished Airing,UNKNOWN,Unknown,5 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/8/66621.jpg
9550,Porong Porong Pororo 4,Pororo the Little Penguin 4,5.43,UNKNOWN,A direct continuation of the previous season where an anthropomorphic car gets separated from his home and arrive in Pororo's village and beings to live there.,TV,26,"Feb 29, 2012 to May 24, 2012",winter 2012,Finished Airing,UNKNOWN,Unknown,11 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/11/66623.jpg
9551,Porong Porong Pororo 5,Pororo the Little Penguin 5,5.58,UNKNOWN,The fifth season of Pororo with a focus more on racing.,TV,26,"Feb 24, 2014 to May 20, 2014",winter 2014,Finished Airing,UNKNOWN,Unknown,11 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/11/66625.jpg
9552,Pororo's English Show,Pororo's English Show,UNKNOWN,UNKNOWN,A musical style season like Pororo-wa Noraehaeyo but the cast speaks entirely English with the original English dub cast as a way to teach English to native Korean Children.,TV,13,2013,UNKNOWN,Finished Airing,UNKNOWN,Unknown,5 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/6/66627.jpg
9553,Pororo Geugjangpan Super Sseolmae Daemoheom,Pororo: The Racing Adventure,5.51,UNKNOWN,Pororo and the gang entry a sleigh racing contest after getting guidance under a 'champion'. Turns out the champion was a liar and now the gang has to fight tooth and nail to win first place in order to keep their pride after talking big.,Movie,1,"Jan 23, 2013",UNKNOWN,Finished Airing,UNKNOWN,Unknown,1 hr 16 min,G - All Ages,https://cdn.myanimelist.net/images/anime/8/66629.jpg
9554,Pororo Hanguk-e Wass-eoyo,Pororo Goes to Korea,5.53,Adventure,"Korean Culture and Information Service, Ministry of Culture, Sports and Tourism commissioned a Pororo short to promote Korean travel to English speaking youths across the world and to domestic youths to explore their own country.

The is the first Pororo work to feature humans. The story is split into 4 chunks for the single episode.",ONA,1,"Mar 7, 2013",UNKNOWN,Finished Airing,UNKNOWN,Original,14 min,G - All Ages,https://cdn.myanimelist.net/images/anime/11/66631.jpg
9555,Yoligongju Loopy,"Loopy, the Cooking Princess",5.46,Gourmet,"A spin-off Pororo series focusing around food, predominantly kimchi incorporated food. Loopy was the cooking expert in the original series so she explains the food and science by magically transforming into a Cooking Princess.",TV,6,2012,UNKNOWN,Finished Airing,UNKNOWN,Original,5 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/3/66635.jpg
9556,Sore Ike! Anpanman: Kaiketsu Naganegiman to Doremi Hime,UNKNOWN,UNKNOWN,"Comedy, Fantasy",No description available for this anime.,Movie,1,"Jul 12, 2003",UNKNOWN,Finished Airing,TMS Entertainment,Unknown,20 min,PG - Children,https://cdn.myanimelist.net/images/anime/8/66661.jpg
9557,Sore Ike! Anpanman: Yuuki to Honoo to Christmas,UNKNOWN,UNKNOWN,"Comedy, Fantasy",No description available for this anime.,Special,1,"Nov 5, 2003",UNKNOWN,Finished Airing,TMS Entertainment,Unknown,50 min,PG - Children,https://cdn.myanimelist.net/images/anime/13/66663.jpg
9558,Sore Ike! Anpanman: Kaiketsu Naganegiman to Yakisobapanman,UNKNOWN,UNKNOWN,"Adventure, Fantasy","Yakisobaman and Uncle Negi try to escort the young Pepper Trio and their important cargo to Vegetable Village in time for the carnival this evening but Baikinman and his gang are trying to steal the cargo. Luckily, Naganegiman keeps showing up to help fight them off, but how? Who could this mysterious masked swordsman be?

(Source: Shiteater Subs)",Movie,1,"Jul 14, 2001",UNKNOWN,Finished Airing,TMS Entertainment,Unknown,20 min,PG - Children,https://cdn.myanimelist.net/images/anime/8/66665.jpg
9559,Sore Ike! Anpanman: Kieta Jam Ojisan,UNKNOWN,UNKNOWN,"Adventure, Fantasy",No description available for this anime.,Special,1,"Feb 21, 2000",UNKNOWN,Finished Airing,TMS Entertainment,Unknown,50 min,PG - Children,https://cdn.myanimelist.net/images/anime/4/66667.jpg
9560,Sore Ike! Anpanman: Anpanman to Tanoshii Nakama-tachi,UNKNOWN,UNKNOWN,"Adventure, Fantasy",No description available for this anime.,Movie,1,"Jul 24, 1999",UNKNOWN,Finished Airing,TMS Entertainment,Unknown,25 min,PG - Children,https://cdn.myanimelist.net/images/anime/9/66671.jpg
9561,Karen Senki,UNKNOWN,5.73,"Action, Sci-Fi","In the post-apocalyptic aftermath of a war between machines and their creators, machines rule while humans exist in a state of servitude. Titular character Karen leads Resistance Group 11, an eclectic group of humans who find themselves fighting for their lives as they are hunted by the robots in each episode. Is this the end of humanity? Are they fighting a losing battle?

Through Karen, we delve into a struggle between right and wrong, between indifference and love that explores some of the deepest questions about humanity. What is the difference between a thinking machine and a human being? What is a soul?

(Source: Crunchyroll)",ONA,11,"Sep 27, 2014 to Dec 6, 2014",UNKNOWN,Finished Airing,Next Media Animation,Original,11 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/13/66677.jpg
9562,Toaru Majutsu no Index 10-shuunen Kinen PV,Toaru Majutsu no Index 10th Anniversary PV,6.77,"Action, Comedy, Sci-Fi","To celebrate the ten years of Kazuma Kamachi's professional career as a writer, Dengeki released a video showing the main cast of Kamachi's works as they gather for the 10th anniversary event.

(Source: Toaru Majutsu no Index Wiki)",Special,1,"Sep 10, 2014",UNKNOWN,Finished Airing,J.C.Staff,Light novel,1 min,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/3/66819.jpg
9563,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV),UNKNOWN,5.53,Comedy,TV series of Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,TV,12,"Oct 7, 2014 to Dec 23, 2014",fall 2014,Finished Airing,UNKNOWN,Unknown,15 min per ep,PG - Children,https://cdn.myanimelist.net/images/anime/2/66697.jpg
9564,Gra-P & Rodeo,UNKNOWN,UNKNOWN,Comedy,"Rodeo is a normal high school boy who aims to be like GRANRODEO. Gra-P, a self-proclaimed music producer who comes from the future, tries to help him.",TV,61,"Oct 19, 2014 to Dec 29, 2015",fall 2014,Finished Airing,Pie in the sky,Original,2 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/67831.jpg
9565,Fate/kaleid liner Prismaâ˜†Illya 2wei Herz!,Fate/Kaleid Liner Prisma Illya 2Wei Herz!,7.17,"Action, Comedy, Fantasy, Slice of Life","Based on the Fate/Kaleid Liner Prismaâ˜†Illya 2wei! manga by Hiroshi Hiroyama, which is a spin-off of the Fate/stay night erotic visual novel by Type-Moon.",TV,10,"Jul 25, 2015 to Sep 26, 2015",summer 2015,Finished Airing,SILVER LINK.,Manga,23 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/7/75297.jpg
9566,Pikmin Short Movies,UNKNOWN,6.85,Fantasy,"Three short stories from the Nintendo Pikmin game series.

The short 3D animated film is a project that Shigeru Miyamoto, a Japanese video game designer, created to explore the characters in a way his games could not.",Movie,3,"Oct 25, 2014",UNKNOWN,Finished Airing,Dynamo Pictures,Game,7 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/1715/113121.jpg
9567,Deko Boko Friends,UNKNOWN,UNKNOWN,Comedy,"The creators of Deko Boko Friends, Maruyama Momoko and Kuwamoto Ryoutarou (m&amp;k), have a fervent wish - they would like to see children grow into adults who live harmoniously with individuals representing a variety of backgrounds and personalities.

The twelve characters represent 12 types of personality traits. Each character is an amalgamation and condensation of traits found in a variety of people. The creators would like to see children develop tolerance and a broad-minded mental outlook that would enable them to accept each person they encounter. The concept uses the element of surprise to introduce this series of animated short stories. Each animated short focuses on one character and brings his or her strong personality trait to life. 

(Source: AniDB)",TV,48,"Apr 1, 2002 to 2002",UNKNOWN,Finished Airing,UNKNOWN,Original,30 sec per ep,PG - Children,https://cdn.myanimelist.net/images/anime/13/66749.jpg
9568,Ajisai no Uta,UNKNOWN,UNKNOWN,"Comedy, Drama","This is a heartwarming story about a family during the Edo era. The main character, Kuritaro, lives with his father and a stray dog. Despite his mother's death, he continues to live a cheerful life.

(Source: AnimeNfo)",OVA,4,"Aug 19, 2004 to Jan 19, 2006",UNKNOWN,Finished Airing,Group TAC,Unknown,54 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/5/66759.jpg
9569,Mellow,UNKNOWN,UNKNOWN,Comedy,"A story about a crossdressing teacher handling a delinquent class.

Based on the same-name seinen manga by Rin Kasahara.",OVA,1,"Jul 23, 1993",UNKNOWN,Finished Airing,Knack Productions,Unknown,44 min,R+ - Mild Nudity,https://cdn.myanimelist.net/images/anime/7/66773.jpg
9570,J League wo 100-bai Tanoshiku Miru Houhou!!,UNKNOWN,UNKNOWN,"Comedy, Sports",No description available for this anime.,Movie,1,"Jun 11, 1994",UNKNOWN,Finished Airing,Ajia-do,Unknown,1 hr 45 min,G - All Ages,https://cdn.myanimelist.net/images/anime/7/66765.jpg
9571,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Fushigi Yuugi Special: Watase Yuu Selection,7.01,Comedy,"While only a novice performer, Nakago is given the unique opportunity to play in the popular series Fushigi Yuugi. However, being constantly bullied by favored actors Miaka Yuuki and Tamahome makes his life miserable and even causes him to have nightmares. Amid such dreadful circumstances, Nakago strives to avoid discouragement and find the motivation to continue onward.",Special,2,"Jul 25, 1996",UNKNOWN,Finished Airing,Pierrot,Manga,2 min per ep,PG - Children,https://cdn.myanimelist.net/images/anime/12/66771.jpg
9572,Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,UNKNOWN,5.97,Fantasy,"The Anpanman Grand Prix is a land, air and sea race around Anpanman World using specially built cars. A grumpy young girl from Flower Land called Maggie causes an accident that wrecks Creampandaâ€™s race car. After helping him fix it, she enters the race as his partner.

(Source: Shiteater Subs)",Movie,1,"Jul 10, 2010",UNKNOWN,Finished Airing,TMS Entertainment,Unknown,20 min,PG - Children,https://cdn.myanimelist.net/images/anime/3/66775.jpg
9573,Sore Ike! Anpanman: Keito no Shiro no Christmas,UNKNOWN,UNKNOWN,"Comedy, Fantasy",No description available for this anime.,Special,1,"Dec 25, 1995",UNKNOWN,Finished Airing,TMS Entertainment,Unknown,50 min,PG - Children,https://cdn.myanimelist.net/images/anime/4/66777.jpg
9574,Ubasuteyama,UNKNOWN,5.4,Drama,"Once upon a time, there was a lord in Shinano Province who hated old men. In accordance with the rules of the province, a person was exiled to an island when they turned 60 years old. On the night of August 15th, there was one such farmer woman, but her son loved her, and took her to a mountain to leave her there instead of turning her over to the cruel officers. However, he felt sorry about what he was doing and hid her under the earthen floor of a barn. One day, a messenger of the lord of the neighboring province was sent to the lord of Shinano Province making an unreasonable demand that a silk thread be threaded through a winding hole in a crystal ball and threatened that force would be used unless the task was done. The devoted son consulted with his mother, and she taught him a method in which you put honey around the end of one hole and let an ant tied with a thread go through it from the other end. The lord rewarded the son. However, a messenger was sent from the neighboring province again demanding that they identify which of two identical mares is the parent and which is the child. The son asked his mother again and then told the solution to the lord. When told by the lord that he would grant the sonâ€™s wish, he pleaded for his motherâ€™s life. Since then, old men and women have been treated with respect and are no longer exiled.

(Source: Japanese Animated Film Classics)",Movie,1,1925,UNKNOWN,Finished Airing,UNKNOWN,Original,18 min,G - All Ages,https://cdn.myanimelist.net/images/anime/9/84490.jpg
9575,Spy Gekimetsu,UNKNOWN,UNKNOWN,UNKNOWN,"A war propaganda film which begins with Roosevelt and Churchill in a secret meeting preparing their spy plans. Western spies in fancy suits and top hats parachute into Japan, disturbing innocent farmers. The Japanese civilians manage to thwart the spy activities.

(Source: AniDB)",Movie,1,"Jul 16, 1942",UNKNOWN,Finished Airing,UNKNOWN,Original,12 min,G - All Ages,https://cdn.myanimelist.net/images/anime/12/66779.jpg
9576,Doubutsu Dai Yakyuu Sen,UNKNOWN,UNKNOWN,Sports,"A game of baseball featuring animals. One team is made up of gorillas, while the other is mixed animals. The gorilla team easily overpowers the other animals.

(Source: AniDB)",Movie,1,Dec-49,UNKNOWN,Finished Airing,UNKNOWN,Original,15 min,G - All Ages,https://cdn.myanimelist.net/images/anime/4/66781.jpg
9577,Mii-chan no Tenohira,UNKNOWN,UNKNOWN,Drama,Based on the book by Kikuko Inaba.,Movie,1,"May 29, 1993",UNKNOWN,Finished Airing,UNKNOWN,Book,22 min,G - All Ages,https://cdn.myanimelist.net/images/anime/7/66783.jpg
9578,47 Todoufuken,UNKNOWN,5.28,Comedy,"""47 Prefecture Dogs"" is a short flash animation from a voice over variety TV program in Japan called ""SAY! YOU! SAY! ME!"" The animation takes Japan's 47 prefecturesâ€”or more specifically, the local delicacies or famous landmarks from each of the regionsâ€”and gives them a canine makeover. For example, the ""Fukuoka-ken"" (Fukuoka dog),â€”Fukuoka of course being home to asianbeat HQâ€”uses the delicacy ""mentaiko"" (spicy pollack roe) as the motif for its canine characterization.

Each of the characters are played by voice actors that hail from each of the individual prefectures, ""Fukuoka-ken"" being voiced by Fukuoka's Kana Asumi.

Another feature of this anime is the use of regional dialect. All the dogs speak in the dialect of their individual prefectures. So for the Fukuoka dog you hear a lot of ""~to"" and ""~to yo"" at the end of sentences; for the Aichi dog it's ""~dagane,"" and for Ehime, ""~zonamoshi,"" etc.

(Source: AsianBeat.com, edited)",TV,26,"Apr 7, 2011 to Sep 29, 2011",spring 2011,Finished Airing,Pollyanna Graphics,Original,1 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/11/67133.jpg
9579,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,"Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars",7.45,"Comedy, Drama, Romance","One normal school day, Rikka Takanashi notices Makoto Isshiki secretly passing a flash drive to Yuuta Togashi. Curious, Rikka talks to her friends about the case, who agree that Yuuta is hiding something from her. They decide to discover the contents of the flash drive by any means necessary, but to their surprise, it merely contained pictures of an idol that Yuuta adored back in middle school. However, Rikka takes offense, as she claims that this breaks their contract as lovers and demands Yuuta to return the flash drive.

Although having seen Yuuta return the flash drive, she still felt uncertain about the situation. This leads to her sneaking into Yuuta's room during the night, only to find out that the flash drive had not been returned! Scanning through its contents, she hurriedly rushes to bed when Yuuta enters her room. To her terror, she finds the flash drive crushed due to her negligence in keeping it in a safe place. Yuuta quickly finds out and demands an apology. However, Rikka too, demands an apology from him, resulting in both of them refusing to be the one to apologize first. Will the two lovebirds be able to resolve their argument?",Special,1,"Sep 17, 2014",UNKNOWN,Finished Airing,Kyoto Animation,Light novel,24 min,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/3/66827.jpg
9580,Jutaijima,UNKNOWN,6.7,Hentai,"It was a school field trip that went terribly, terribly wrong. A cruise ship carrying a high school class was wrecked at sea with some of the survivors miraculously winding up on a nearby island. Though the buildings there suggest it was once populated, the only occupants now are the girls who survived the shipwreck, and the one male student that they all looked down upon for his unattractive appearance.

Not long after arriving however, the girls begin to become overwhelmed with an abnormal sexual desire. No matter what they do to themselves, the lust wonâ€™t go away. They discover that the cause of this is a virus, with the only cure for it being male sperm. Unfortunately, the cure is only temporary and if the lust continues uncontrolled, it results in the host of the virus dying from cardiac arrest.

Now there is quite literally only one man who can save them allâ€”the very same man that they shunned before being stuck on the island. The question of Jutaijima is not whether he will or wonâ€™t save them, but what sexual measures he will go to in order to do so?",OVA,2,"Dec 19, 2014 to Jan 23, 2015",UNKNOWN,Finished Airing,T-Rex,Visual novel,15 min per ep,Rx - Hentai,https://cdn.myanimelist.net/images/anime/1327/104089.jpg
9581,Selector Infected WIXOSS: Midoriko-san to Piruruku-tan,UNKNOWN,5.88,Comedy,"Hosting their own television show, LRIGs Midoriko and Piruluk set aside the thrill of WIXOSS battles to learn more about the world they live in. In striving to answer submitted questions, the two are connected with various individualsâ€”people's responses shed light on the spirited quirks and earnest feelings that persist even amid an unseen struggle linked to a sinister truth.",Special,3,"Aug 27, 2014 to Dec 19, 2014",UNKNOWN,Finished Airing,J.C.Staff,Card game,5 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/67027.jpg
9582,Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue,UNKNOWN,5.86,"Comedy, Romance, Slice of Life, Ecchi","Short flash episodes included on the Ane Log Fan Disc.

The story centers on Moyako Konoe and her younger brother Akira. When they were younger, Akira proposed to her, so Moyako thinks he is a pervert who has fallen in love with his older sister. Moyako's misunderstanding leads her to create wild delusions about her brother.

Episodes
#1: Ane Prologue
#2: Ane Buro
#3: Ane Morning
#4: Ane Friend
#5: Ane Ponytail
#6: Ane Hip",OVA,6,"Apr 18, 2014",UNKNOWN,Finished Airing,Brain's Base,Manga,3 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/1483/121804.jpg
9583,Glass no Kamen desu ga to Z,UNKNOWN,5.81,Comedy,A continuation of the previous season under a new director and new name.,TV,14,"Apr 28, 2013 to Jul 28, 2013",spring 2013,Finished Airing,DLE,Unknown,3 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/3/66851.jpg
9584,Tantei Kageki Milky Holmes TD,UNKNOWN,6.44,"Comedy, Mystery","There have been many cases of stolen songs happening among the idols in Yokohama District recently. Even super idol Marine Amagi's hit song ""Kiseki no Uta"" was taken away. At the request of Marine, the Milky Holmes team starts investigating the case.

(Source: Crunchyroll)",TV,12,"Jan 3, 2015 to Mar 28, 2015",winter 2015,Finished Airing,"J.C.Staff, Nomad",Original,22 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/5/66891.jpg
9585,God Eater,God Eater,7.2,"Action, Fantasy, Sci-Fi","The year is 2071. Humanity has been pushed to the brink of extinction following the emergence of man-eating monsters called ""Aragami"" that boast an immunity to conventional weaponry. They ravaged the land, consuming almost everything in their path and leaving nothing in their wake. To combat them, an organization named Fenrir was formed as a last-ditch effort to save humanity through the use of ""God Eaters""â€”special humans infused with Oracle cells, allowing them to wield the God Arc, the only known weapon capable of killing an Aragami. One such God Eater is Lenka Utsugi, a New-Type whose God Arc takes the form of both blade and gun.

Now, as one of Fenrir's greatest weapons, Lenka must master his God Arc if he is to fulfill his desire of wiping out the Aragami once and for all. The monsters continue to be born en masse while the remnants of humanity struggle to survive the night. Only God Eaters stand between the Aragami and complete and total annihilation of the human race.",TV,13,"Jul 12, 2015 to Mar 26, 2016",summer 2015,Finished Airing,ufotable,Game,23 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/7/73852.jpg
9586,Gekkan Shoujo Nozaki-kun Specials,Monthly Girls' Nozaki-kun Specials,7.71,"Comedy, Romance",Specials bundled with the Blu-ray/DVDs.,Special,6,"Sep 24, 2014 to Feb 25, 2015",UNKNOWN,Finished Airing,Doga Kobo,4-koma manga,3 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/9/66871.jpg
9587,Ginga Tetsudou 999: Niji no Michishirube,UNKNOWN,5.96,"Drama, Sci-Fi","Short movie screened at the 2001 Kitakyushu Expo-Festival held in Kitakyushu City, Fukuoka Prefecture, Japan.",Movie,1,"Jul 4, 2001",UNKNOWN,Finished Airing,Toei Animation,Unknown,17 min,G - All Ages,https://cdn.myanimelist.net/images/anime/5/66929.jpg
9588,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,Crayon Shin-chan: My Moving Story - The Great Cactus Attack!,7.07,"Action, Adventure, Comedy","Hiroshi was ordered to be the manager of his company's Mexico branch in order to collect the fruit of a new type of cactus that has the sweetest nectar. So, Nohara family packs up and moves to Mexico to live there. They had to bid farewell to their acquaintances and the citizens of Kasukabe with tears. Shinnosuke heard that Mexican young girls are stylish and beautiful and became eager for this journey. On arriving at Mardequellyovaca city in Mexico, a new life full of anxiety, surrounded by unique neighbors awaits them. But Shinnosuke and Nohara family had no idea that flesh-eating killer cactuses are going to attack.

To save the town, the Nohara family and their neighbors work together to fight against ""Killer Cactus"". 

(Source: Wikipedia)",Movie,1,"Apr 18, 2015",UNKNOWN,Finished Airing,Shin-Ei Animation,Manga,1 hr 43 min,G - All Ages,https://cdn.myanimelist.net/images/anime/1584/94871.jpg
9589,Aldnoah.Zero Part 2,Aldnoah.Zero,6.92,"Action, Sci-Fi","The war between the Terrans and the Vers Empire of Mars has ended, allowing humanity to blissfully enjoy their lives in a time of peace. Nineteen months later, however, the Vers princess makes a shocking public declaration: ""the Terrans are a foolish race that covets resources, destroys nature, and are devoted to the pursuit of pleasure."" And so, to protect their precious Earth, she calls upon her knights to take up arms, and the raging battle between the two civilizations reignites.

Slaine Troyard has found a place among the Martians, giving Earth a short respite from the war against the Vers Empire. However, a peaceful resolution seems inconceivable. The various people who fought desperately for survival in the past now find themselves in the midst of yet another bloody and chaotic conflict, one that will forever alter the fate of humankind.",TV,12,"Jan 11, 2015 to Mar 29, 2015",winter 2015,Finished Airing,"A-1 Pictures, TROYCA",Original,23 min per ep,R - 17+ (violence & profanity),https://cdn.myanimelist.net/images/anime/10/71297.jpg
9590,Baby Steps 2nd Season,UNKNOWN,8.01,Sports,"After having decided to play tennis at the professional level, Eiichirou Maruo now needs to convince his parents to support his decision. To do so, he makes a wager: if he cannot win the All-Japan Junior Tennis Tournament, he will give up on his dream. However, he will need to improve his skills quickly if he wants to qualify for the tournament and have any chance of defeating the best players in the country. For this reason, his new coach Ryuuhei Aoi suggests that Eiichirou travel abroad to train at the Florida Tennis Academy.

Baby Steps 2nd Season takes the action to America as Eiichirou begins his two-week training program, getting a taste of what tennis is like outside of Japan. With this exciting experience awaiting him, Eiichirou hopes that his training will get him closer to his goal of becoming a professional player.",TV,25,"Apr 5, 2015 to Sep 20, 2015",spring 2015,Finished Airing,Pierrot,Manga,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/9/73683.jpg
9591,Stratos 4 OVA: Stratos 4.1 - Dutch Roll,UNKNOWN,5.68,"Action, Sci-Fi",This short episode comes along with the first episode of the OVA.,Special,1,"May 28, 2004",UNKNOWN,Finished Airing,Studio Fantasia,Unknown,5 min,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/12/67343.jpg
9592,Sasurai-kun,UNKNOWN,UNKNOWN,"Comedy, Slice of Life",Based on the gag manga by Fujio A Fujiko.,TV,13,"Apr 7, 1992 to Jun 30, 1992",spring 1992,Finished Airing,Shin-Ei Animation,Manga,25 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/5/67005.jpg
9593,Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol,UNKNOWN,UNKNOWN,"Comedy, Fantasy",No description available for this anime.,Movie,1,"Jul 7, 2012",UNKNOWN,Finished Airing,TMS Entertainment,Picture book,20 min,PG - Children,https://cdn.myanimelist.net/images/anime/6/67007.jpg
9594,Oshiri Kajiri Mushi (TV) 3rd Season,Bottom Biting Bug 3,5.08,Comedy,"A gag comedy about Oshiri Kajiri Mushi XVIII, a 10-year-old insect who goes to Biting School to inherit his family's Biting Shop business. 

(Source: ANN)",TV,10,"Oct 6, 2014 to Dec 8, 2014",fall 2014,Finished Airing,Kinema Citrus,Music,5 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/8/67051.jpg
9595,Heart Cocktail,UNKNOWN,6.18,Romance,"Sometimes, it is the simplest gestures that convey the most intimate feelings. From awkward first encounters in an elevator to receiving a hand-knit sweater, love can blossom even in the most mundane of situations. Each new experience of sweetâ€”and at times bitterâ€”romance develops in less time than it takes to smoke a cigarette.",TV,77,"Oct 3, 1986 to Mar 26, 1988",fall 1986,Finished Airing,Meruhensha,Unknown,3 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/9/67163.jpg
9596,Saki Biyori Animation,UNKNOWN,6.51,"Comedy, Slice of Life","A single episode OVA released with the 14th volume of the Saki manga, consisting of 4-koma gags featuring characters from the first season. The two pros meet up at a family restaurant. The captains of the four teams prepare for a joint training camp. Ikeda keeps her little sisters occupied. The Tsuruga team goes on an unplanned camping trip. Ryuumonbuchi celebrate Koromo's birthday.

(Source: ANN)",OVA,1,"Jul 25, 2015",UNKNOWN,Finished Airing,Studio Gokumi,4-koma manga,24 min,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/4/69895.jpg
9597,Kasumin,Mistin,6.54,Fantasy,"Haruno Kasumi is a fourth-grader. Her parents are zoologists who went over to Africa to carry out their research studies. In order to see off her parents, Kasumi arrived at Kasumi Town. In the middle of the town lies an enormous mansion surrounded by the forest. The mansion belongs to the Kasumi household, the family in which Kasumi will be lodging in and taken care of. There is a mysterious aura about the mansion and Kasumi discovers a series of talking appliances. The Kasumi family refers to these creatures as ""Henamon"". In return for living in with the family, Kasumi will be helping out with the household chores such as cooking and washing. Surrounded by various interesting characters, Kasumi begins a new chapter in her life.

(Source: ANN)",TV,26,"Oct 13, 2001 to Apr 6, 2002",fall 2001,Finished Airing,OLM,Unknown,25 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/1503/100643.jpg
9598,Kasumin 2nd Season,UNKNOWN,UNKNOWN,Fantasy,Second season of Kasumin,TV,26,"Oct 5, 2002 to Apr 5, 2003",fall 2002,Finished Airing,OLM,Unknown,25 min per ep,G - All Ages,https://cdn.myanimelist.net/images/anime/13/67257.jpg
9599,Binan Koukou Chikyuu Bouei-bu LOVE!,Cute High Earth Defense Club LOVE!,6.83,Comedy,"Why should girls get to have all the fun? These magical boys are here to save the world from the loveless... at least that's what the pink wombat who gives them their magical powers wants them to do.

In Binan Koukou Chikyuu Bouei-bu Love!, the main characters are the members of the ""Earth Defense Club"" at the Binan High School, though all they really want to do is hang out, goof off, and relax at the nearby Kurotama Bath. One fateful day, though, a pink wombat appears out of nowhere and forces these five high school students to become ""Battle Lovers"" and protect Earth from a trio of villains who are taking orders from a green hedgehog. Over the course of the series, the Battle Lovers will take on a variety of fiends, including the chikuwabu monster, a chopstick phantom, a monster remote control, and plenty more strange enemies!

Will the heirs to the throne of love be able to protect Earth from those who want to destroy love? Or will the Earth Conquest Club fill the world with hate?",TV,12,"Jan 7, 2015 to Mar 25, 2015",winter 2015,Finished Airing,DiomedÃ©a,Original,24 min per ep,PG-13 - Teens 13 or older,https://cdn.myanimelist.net/images/anime/10/68451.jpg
9600,Battle Spirits: Burning Soul,UNKNOWN,6.66,UNKNOWN,"In the near future, a battle card game called ""Battle Spirits"" has gained enormous popularity. Players of the gameâ€”known as ""Battlers""â€”start duelings everywhere using their color-coded cards with different attributes, creating a ""Sengoku (Warring States) period"" for the game.

(Source: ANN)",TV,51,"Apr 1, 2015 to Mar 30, 2016",spring 2015,Finished Airing,Bandai Namco Pictures,Card game,22 min per ep,PG - Children,https://cdn.myanimelist.net/images/anime/1114/131733.jpg
